N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

begin header for RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn [ Mon, 11/4/2013 07:42:08.0761 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

begin header for RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn [ Mon, 11/4/2013 08:19:01.3261 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_4nov2013_Bposn_like18mar2013Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Mon, 11/4/2013 08:19:01.9667 AM ]
sweeping platen back and forth 940.0 times at 2.00051282051 RPM
starting sweep 151 of 940 [ Mon, 11/4/2013 08:20:49.5136 AM ]
starting sweep 152 of 940 [ Mon, 11/4/2013 08:20:50.2323 AM ]
starting sweep 153 of 940 [ Mon, 11/4/2013 08:20:50.9354 AM ]
starting sweep 154 of 940 [ Mon, 11/4/2013 08:20:51.6542 AM ]
starting sweep 155 of 940 [ Mon, 11/4/2013 08:20:52.3573 AM ]
starting sweep 156 of 940 [ Mon, 11/4/2013 08:20:53.0604 AM ]
starting sweep 157 of 940 [ Mon, 11/4/2013 08:20:53.7792 AM ]
starting sweep 158 of 940 [ Mon, 11/4/2013 08:20:54.4823 AM ]
starting sweep 159 of 940 [ Mon, 11/4/2013 08:20:55.2011 AM ]
starting sweep 160 of 940 [ Mon, 11/4/2013 08:20:55.9042 AM ]
starting sweep 161 of 940 [ Mon, 11/4/2013 08:20:56.6229 AM ]
starting sweep 162 of 940 [ Mon, 11/4/2013 08:20:57.3417 AM ]
starting sweep 163 of 940 [ Mon, 11/4/2013 08:20:58.0448 AM ]
starting sweep 164 of 940 [ Mon, 11/4/2013 08:20:58.7479 AM ]
starting sweep 165 of 940 [ Mon, 11/4/2013 08:20:59.4667 AM ]
starting sweep 166 of 940 [ Mon, 11/4/2013 08:21:00.1698 AM ]
starting sweep 167 of 940 [ Mon, 11/4/2013 08:21:00.8729 AM ]
starting sweep 168 of 940 [ Mon, 11/4/2013 08:21:01.5917 AM ]
starting sweep 169 of 940 [ Mon, 11/4/2013 08:21:02.2948 AM ]
starting sweep 170 of 940 [ Mon, 11/4/2013 08:21:03.0136 AM ]
starting sweep 171 of 940 [ Mon, 11/4/2013 08:21:03.7323 AM ]
starting sweep 172 of 940 [ Mon, 11/4/2013 08:21:04.4354 AM ]
starting sweep 173 of 940 [ Mon, 11/4/2013 08:21:05.1542 AM ]
starting sweep 174 of 940 [ Mon, 11/4/2013 08:21:05.8573 AM ]
starting sweep 175 of 940 [ Mon, 11/4/2013 08:21:06.5761 AM ]
starting sweep 176 of 940 [ Mon, 11/4/2013 08:21:07.2792 AM ]
starting sweep 177 of 940 [ Mon, 11/4/2013 08:21:07.9979 AM ]
starting sweep 178 of 940 [ Mon, 11/4/2013 08:21:08.7011 AM ]
starting sweep 179 of 940 [ Mon, 11/4/2013 08:21:09.4198 AM ]
starting sweep 180 of 940 [ Mon, 11/4/2013 08:21:10.1229 AM ]
starting sweep 181 of 940 [ Mon, 11/4/2013 08:21:10.8417 AM ]
starting sweep 182 of 940 [ Mon, 11/4/2013 08:21:11.5448 AM ]
starting sweep 183 of 940 [ Mon, 11/4/2013 08:21:12.2636 AM ]
starting sweep 184 of 940 [ Mon, 11/4/2013 08:21:12.9823 AM ]
starting sweep 185 of 940 [ Mon, 11/4/2013 08:21:13.6854 AM ]
starting sweep 186 of 940 [ Mon, 11/4/2013 08:21:14.4042 AM ]
starting sweep 187 of 940 [ Mon, 11/4/2013 08:21:15.1073 AM ]
starting sweep 188 of 940 [ Mon, 11/4/2013 08:21:15.8261 AM ]
starting sweep 189 of 940 [ Mon, 11/4/2013 08:21:16.5448 AM ]
starting sweep 190 of 940 [ Mon, 11/4/2013 08:21:17.2479 AM ]
starting sweep 191 of 940 [ Mon, 11/4/2013 08:21:17.9667 AM ]
starting sweep 192 of 940 [ Mon, 11/4/2013 08:21:18.6854 AM ]
starting sweep 193 of 940 [ Mon, 11/4/2013 08:21:19.3886 AM ]
starting sweep 194 of 940 [ Mon, 11/4/2013 08:21:20.1073 AM ]
